Category,Variable,PAK,BTN,BGD
Endowment,Urban,-0.33,-0.59,-0.11
Endowment,Literacy,0.04,-0.7,-1.4
Endowment,Male,-0.01,-0.48,0.03
Endowment,Employed,-0.02,0.35,-0.04
Endowment,Unemployed,-0.05,0.03,0.12
Endowment,OLF,0,0.1,-0.02
Endowment,Agriculture,-0.08,-0.89,-0.11
Endowment,Industry,0.12,0.08,0.13
Endowment,Service,0,-0.03,0
Endowment,Other,-0.02,-0.05,-0.01
Coefficient,Urban,1.91,2.17,1.22
Coefficient,Literacy,1.64,1.84,3.74
Coefficient,Male,-5.45,-4.92,-1.69
Coefficient,Employed,-0.28,17.04,0.06
Coefficient,Unemployed,0.01,-0.01,-0.01
Coefficient,OLF,-0.06,-0.76,-1.04
Coefficient,Agriculture,2.23,-4.58,1.41
Coefficient,Industry,-0.74,-0.23,-1.01
Coefficient,Service,-0.42,-0.01,-0.63
Coefficient,Other,-0.34,-0.26,-0.06
