="Linear regression: Dependent variable ln_welfare_perc"
="",="2002",="2006",="2009",="2012"
="Female",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Male",="0.0742***",="0.0579***",="0.0474***",="0.0454***"
="",="(0.0102)",="(0.00914)",="(0.00961)",="(0.0104)"
="Individual age",="0.0108***",="0.00886***",="0.0105***",="0.0136***"
="",="(0.00188)",="(0.00168)",="(0.00182)",="(0.00216)"
="Age squared",="-0.000108***",="-0.0000938***",="-0.000113***",="-0.000132***"
="",="(0.0000177)",="(0.0000158)",="(0.0000171)",="(0.0000201)"
="Household size",="-0.134***",="-0.132***",="-0.134***",="-0.117***"
="",="(0.00253)",="(0.00230)",="(0.00252)",="(0.00333)"
="Rural",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Urban",="0.263***",="0.220***",="0.261***",="0.243***"
="",="(0.0102)",="(0.00906)",="(0.00957)",="(0.0238)"
="No Electricity",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Electricity",="0.459***",="0.387***",="0.394***",="0.402***"
="",="(0.0112)",="(0.0113)",="(0.0134)",="(0.0309)"
="Not own house",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Own house",="0.124***",="0.0816***",="0.109***",="0.0920***"
="",="(0.0115)",="(0.0106)",="(0.0108)",="(0.0186)"
="Western",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Central",="-0.285***",="-0.257***",="-0.271***",="-0.270***"
="",="(0.0145)",="(0.0137)",="(0.0142)",="(0.0264)"
="Southern",="-0.180***",="-0.202***",="-0.317***",="-0.245***"
="",="(0.0125)",="(0.0116)",="(0.0129)",="(0.0243)"
="Eastern",="-0.149***",="-0.358***",="-0.434***",="-0.503***"
="",="(0.0173)",="(0.0139)",="(0.0153)",="(0.0266)"
="North-western",="-0.205***",="-0.256***",="-0.222***",="-0.181***"
="",="(0.0158)",="(0.0147)",="(0.0157)",="(0.0282)"
="North-central",="-0.173***",="-0.148***",="-0.269***",="-0.259***"
="",="(0.0185)",="(0.0169)",="(0.0181)",="(0.0313)"
="Uva",="-0.431***",="-0.375***",="-0.494***",="-0.449***"
="",="(0.0182)",="(0.0171)",="(0.0179)",="(0.0353)"
="Sabaragamuwa",="-0.386***",="-0.320***",="-0.386***",="-0.398***"
="",="(0.0167)",="(0.0155)",="(0.0169)",="(0.0261)"
="Northern",="",="-0.214***",="-0.324***",="-0.424***"
="",="",="(0.0222)",="(0.0163)",="(0.0267)"
="Constant",="0.995***",="1.170***",="1.194***",="1.169***"
="",="(0.0492)",="(0.0446)",="(0.0485)",="(0.0645)"
="Observations",="18543",="19948",="20531",="21755"
="R-squared",="0.281",="0.256",="0.258",="0.198"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
