="Linear regression: Dependent variable ln_welfare_perc"
="",="2002",="2006",="2009",="2012",="2016"
="Female",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"
="Male",="0.0765***",="0.0856***",="0.0621***",="0.0484***",="0.0471***"
="",="(0.0119)",="(0.0106)",="(0.00941)",="(0.00982)",="(0.0105)"
="Individual age",="0.0187***",="0.0158***",="0.0112***",="0.0135***",="0.0142***"
="",="(0.00207)",="(0.00196)",="(0.00172)",="(0.00186)",="(0.00218)"
="Age squared",="-0.000157***",="-0.000147***",="-0.000111***",="-0.000137***",="-0.000138***"
="",="(0.0000197)",="(0.0000185)",="(0.0000162)",="(0.0000174)",="(0.0000202)"
="Household size",="-0.129***",="-0.126***",="-0.127***",="-0.128***",="-0.115***"
="",="(0.00276)",="(0.00264)",="(0.00236)",="(0.00256)",="(0.00334)"
="Rural",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"
="Urban",="0.451***",="0.330***",="0.261***",="0.302***",="0.250***"
="",="(0.0125)",="(0.0106)",="(0.00924)",="(0.00967)",="(0.0237)"
="Not own house",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"
="Own house",="0.0120",="0.179***",="0.103***",="0.128***",="0.105***"
="",="(0.0145)",="(0.0119)",="(0.0109)",="(0.0110)",="(0.0186)"
="Western",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"
="Central",="-0.302***",="-0.331***",="-0.277***",="-0.281***",="-0.274***"
="",="(0.0143)",="(0.0151)",="(0.0141)",="(0.0145)",="(0.0265)"
="Southern",="-0.331***",="-0.198***",="-0.206***",="-0.321***",="-0.244***"
="",="(0.0155)",="(0.0130)",="(0.0120)",="(0.0131)",="(0.0244)"
="North-western",="-0.371***",="-0.281***",="-0.306***",="-0.241***",="-0.186***"
="",="(0.0163)",="(0.0164)",="(0.0150)",="(0.0160)",="(0.0285)"
="North-central",="-0.293***",="-0.248***",="-0.190***",="-0.288***",="-0.261***"
="",="(0.0198)",="(0.0192)",="(0.0174)",="(0.0184)",="(0.0316)"
="Uva",="-0.496***",="-0.519***",="-0.422***",="-0.539***",="-0.456***"
="",="(0.0186)",="(0.0189)",="(0.0176)",="(0.0182)",="(0.0353)"
="Sabaragamuwa",="-0.430***",="-0.475***",="-0.371***",="-0.412***",="-0.403***"
="",="(0.0165)",="(0.0173)",="(0.0158)",="(0.0172)",="(0.0263)"
="Eastern",="",="-0.241***",="-0.413***",="-0.492***",="-0.523***"
="",="",="(0.0179)",="(0.0142)",="(0.0155)",="(0.0268)"
="Northern",="",="",="-0.277***",="-0.458***",="-0.447***"
="",="",="",="(0.0227)",="(0.0159)",="(0.0270)"
="Constant",="1.044***",="1.158***",="1.407***",="1.436***",="1.526***"
="",="(0.0541)",="(0.0512)",="(0.0453)",="(0.0488)",="(0.0599)"
="Observations",="16924",="18543",="19948",="20531",="21755"
="R-squared",="0.246",="0.216",="0.212",="0.226",="0.189"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
